code,D10,D30,D50,D60,D90,Cu,Cc,clay_pct,silt_pct,sand_pct,bulk_density,particle_density,porosity,void_ratio,Gs,OM_content,pH,EC,theta_s,theta_r
4231,0.001,0.0379999999999999,0.0984848484848484,0.1287878787878787,0.2196969696969697,,,34.0,65.99999999999999,0.0,1.494,2.64,0.4340909090909091,0.7670682730923695,2.64,,,,0.3650594500368447,0.0
4032,0.001,0.0137499999999999,0.0271770334928229,0.0343540669856459,0.0817829457364341,,,24.0,70.7,5.300000000000004,1.5,,,,,0.44,,,0.4256255831215184,0.0
2241,0.001,0.0177358490566037,0.0347169811320754,0.0432075471698113,0.7031250000000001,57.24999999999998,9.646288209606988,15.0,85.0,0.0,1.34,2.66,0.456,0.8382352941176471,2.66,,,,0.4984518048566466,0.0
2713,0.001,0.0078625954198473,0.0225190839694656,0.0298473282442748,0.4400000000000003,,,87.5,12.5,0.0,1.66,2.61,0.364,0.5723270440251572,2.61,0.2,4.0,,0.3709718734681828,0.0
3283,0.001,0.001,0.0108474576271186,0.0159322033898305,0.14375,,,68.0,32.0,0.0,1.64,2.64,0.379,0.6103059581320451,2.64,,,,0.3922449244342395,0.029456593047446
2393,0.001,0.0054285714285714,0.0397142857142857,0.2272727272727269,1.556818181818182,,,56.00000000000001,43.99999999999999,0.0,1.54,,,,,,,,0.3518745994231027,0.0
2210,0.0674021739130434,0.1703267973856209,0.2567567567567567,0.3243243243243243,0.6666666666666669,4.811778396684057,1.3271271536528322,4.4,3.1,92.5,1.826,2.737,0.333,0.4992503748125937,2.737,,4.2,,0.3294950044779373,0.0
4183,0.001,0.0143,0.0320845070422535,0.0405352112676056,0.0925339366515837,,,25.7,67.60000000000001,6.699999999999995,1.6,,,,,0.27,,,0.3983821280197372,0.0305316267571781
3242,0.001,0.0080529634300126,0.0201588902900378,0.0262118537200504,0.0443707440100882,,,99.3,0.2000000000000001,0.5000000000000004,1.41,,0.47,0.8867924528301886,,,,,0.6554804355034873,0.0909641789450491
2601,0.001,0.0064379562043795,0.0297956204379562,0.0414744525547445,1.4036697247706422,,,67.30000000000001,32.7,0.0,1.08,2.53,0.573,1.3419203747072597,2.53,3.6,3.8,,0.5429563018078072,0.0
2414,0.0116,0.0436,0.5227272727272727,0.8181818181818182,1.704545454545455,70.53291536050158,0.2002927203065133,34.0,65.99999999999999,0.0,1.43,,,,,,,,0.4187288328525856,0.0
3224,0.001,0.00641059602649,0.0123708609271523,0.0153509933774834,0.0432258064516129,34.08823529411764,5.944678475359081,75.6,19.7,4.700000000000005,1.35,,,,,0.47,8.2,0.7000000000000001,0.6181364128839334,0.0
2242,0.001,0.0177358490566037,0.0347169811320754,0.0432075471698113,0.7031250000000001,57.24999999999998,9.646288209606988,15.0,85.0,0.0,1.22,2.66,0.544,1.192982456140351,2.66,,,,0.5468067770926591,0.0
4162,0.001,0.030632911392405,0.0935672514619883,0.12,0.1969230769230769,,,23.4,28.800000000000004,47.8,1.52,,,,,0.07,,,0.4593251166243036,0.0748126507028712
3161,0.0165384615384615,0.0852534562211981,0.1465753424657534,0.1808219178082191,0.4050632911392405,10.933418286078364,2.430400301613496,11.0,25.4,63.6,1.38,,,,,1.16,7.600000000000001,0.41,0.7972185672348269,0.0
2590,0.001,0.0186380368098159,0.0480858895705521,0.3983572895277206,1.5995893223819304,,,51.3,48.7,0.0,1.22,2.59,0.529,1.1231422505307858,2.59,4.2,5.9,,0.5137356106009181,0.0
3180,0.001,0.0191428571428571,0.0968965517241379,0.138235294117647,0.3239130434782609,,,30.5,20.4,49.1,1.52,,,,,0.75,8.2,0.46,0.4506155632960861,0.0
1320,0.001,0.001,0.001,0.0051428571428571,0.0382978723404255,,,86.0,9.399999999999997,4.600000000000004,1.46,,,,,1.4,6.600000000000001,,0.322,0.0968408915773873
2620,0.001,0.001,0.0049662921348314,0.0184494382022471,0.8253012048192776,,,83.39999999999999,16.600000000000005,0.0,1.07,2.51,0.574,1.3474178403755863,2.51,4.0,3.4,,0.5737718221230522,0.0
4660,0.06875,0.2298507462686567,0.3492537313432836,0.408955223880597,0.5880597014925373,5.948439620081411,1.8790717943131057,5.0,4.0,91.0,1.37,2.56,0.46,0.8518518518518519,2.56,2.31,3.8,,0.431083170470266,0.0067446642423991
4191,0.001,0.001,0.0121818181818181,0.0267272727272727,0.1666666666666666,,,76.0,24.0,0.0,1.229,2.69,0.5431226765799256,1.1887713588283155,2.69,,,,0.463593492326773,0.0
2012,0.001,0.0086046511627906,0.0304,0.0384,0.0962068965517241,,,28.4,58.60000000000001,13.0,1.51,2.69,0.44,0.7857142857142857,2.69,0.29,7.0,,0.4274336880466768,0.0870709281364877
1204,0.001,0.0865506329113924,0.1643518518518518,0.1974206349206349,0.4052863436123348,,,22.3,15.8,61.9,1.82,,,,,,,,0.2805992494955914,0.0
2415,0.0116,0.0436,0.5227272727272727,0.8181818181818182,1.704545454545455,70.53291536050158,0.2002927203065133,34.0,65.99999999999999,0.0,1.43,,,,,,,,0.4434372997115514,0.0
4543,0.001,0.0312131147540983,0.0674190064794816,0.0808099352051835,0.1209827213822894,,,19.6,27.1,53.29999999999999,1.61,,,,,1.38,7.640000000000001,,0.4534576657051714,0.0
1282,0.001,0.0044651162790697,0.025086876155268,0.0330351201478743,0.0568798521256931,,,33.300000000000004,64.39999999999999,2.300000000000002,1.46,2.7,0.459,0.8484288354898338,2.7,0.397,7.37,,0.4383649761190498,0.1601757210698972
1041,0.0638888888888888,0.1410984848484848,0.1884469696969697,0.2121212121212121,0.4621212121212121,3.3201581027667983,1.469045560417843,7.000000000000001,16.2,76.8,1.512,2.65,0.4294339622641508,0.7526455026455025,2.65,0.783,,,0.3293596716556582,0.0
1466,0.0587934782608695,0.0806675,0.0991675,0.1196120689655172,0.1842672413793103,2.0344445081951537,0.9253223216734208,1.4,9.5,89.1,1.54,2.631,0.414,0.7064846416382251,2.631,,,,0.445322375510494,0.0
2650,0.001,0.0172289156626506,0.0365060240963855,0.046144578313253,1.4583333333333337,,,64.0,36.0,0.0,1.08,2.61,0.586,1.4154589371980677,2.61,4.600000000000001,4.7,,0.5643707460324233,0.0
2401,0.001,0.0176,0.0416,0.186046511627907,1.5465116279069768,,,56.99999999999999,43.00000000000001,0.0,1.25,,,,,,,,0.4354780316987912,0.0
1383,0.001,0.001,0.0037302325581395,0.0055906976744186,0.0445281690140845,,,62.2,33.9,3.900000000000004,1.64,2.7,0.393,0.6474464579901154,2.7,0.138,4.13,,0.3426936733836512,0.1360492993996203
2711,0.001,0.0104790419161676,0.0248502994011976,0.0320359281437125,0.7000000000000005,,,85.0,15.000000000000002,0.0,1.27,2.61,0.513,1.053388090349076,2.61,0.5,3.8,,0.4907749877454621,0.0
1351,0.001,0.0135185185185185,0.0306382978723404,0.0391489361702127,0.1516666666666666,,,21.3,63.2,15.500000000000004,1.57,2.63,0.403,0.6750418760469012,2.63,0.65,7.4,,0.4088701210770287,0.0453450139192716
1301,0.001,0.001,0.0319597315436241,0.0480671140939597,1.4974226804123714,,,61.2,38.8,0.0,1.27,,,,,,,,0.3733034623607549,0.0
3263,0.002,0.0169999999999999,0.032,0.0395,0.275,19.75,3.658227848101265,74.0,2.0000000000000018,24.0,1.37,,,,,,,,0.5302328937362524,0.0651739767874153
2731,0.001,0.012721649484536,0.0292164948453608,0.0374639175257731,1.213709677419355,,,75.2,24.8,0.0,1.38,2.61,0.471,0.8903591682419659,2.61,0.7000000000000001,4.3,,0.4707758967279977,0.0
4551,0.001,0.001,0.0051149425287356,0.0118348623853211,0.0485321100917431,,,49.8,50.2,0.0,1.7,2.62,0.351,0.5408320493066255,2.62,0.6900000000000001,6.69,,0.582724198695143,0.0925566441134587
